id,prefectures,city,ward,town,polygon
0,京都,京都,中京区,一之船入町,"""POLYGON((135.76930424119175 35.013184580687074,135.76894844104126 35.013198913239236,135.76865196760988 35.01321941439443,135.7685587625537 35.01322156299657,135.76851344584858 35.01208088755173,135.76893555463408 35.0120603421342,135.768933817591 35.011038628949095,135.77043480793495 35.01104947318425,135.77040334934574 35.01228099846495,135.7704011627115 35.01236684719651,135.77038985750931 35.012545855362184,135.7701181243861 35.012543515610304,135.77013225696172 35.01302548442908,135.76957420794884 35.01303063742657,135.76957406612036 35.0130814862958,135.769319965521 35.013086503412424,135.76930424119175 35.013184580687074))"""
1,京都,京都,中京区,一蓮社町,"""POLYGON((135.7604100444479 35.005827030119576,135.76050466829693 35.005829448921915,135.76050256911608 35.005962626225674,135.76076206516404 35.005963132898025,135.76076204937726 35.00597609185028,135.76076182519935 35.00615596750397,135.7608156637365 35.006156072550056,135.7608881416588 35.00615543954264,135.76088301253628 35.00629318869806,135.760819480081 35.006293064775264,135.7608172719179 35.00636820904026,135.76048061731979 35.00636600216409,135.76048076353752 35.0067780837088,135.7604756512979 35.00710085111299,135.7604589671777 35.00730399283337,135.760282322076 35.0073021674217,135.76028258781656 35.00701784558139,135.7603600969671 35.00701892741698,135.76036484692224 35.00677852974429,135.76034699927166 35.006778597633875,135.760347626 35.0065639304641,135.76002990238968 35.00656330904217,135.76002073783323 35.006147687589824,135.75991717027654 35.006147133232815,135.75991764998827 35.00599747250184,135.76011212372157 35.00599566888044,135.76010841333897 35.00582240603893,135.76023624679164 35.0058225858144,135.76025387578508 35.00582303678359,135.7604100444479 35.005827030119576))"""
3,京都,京都,中京区,七町目,"""POLYGON((135.75261341807706 35.01715653930815,135.75253778606628 35.017156385842114,135.75253922090735 35.01709891880878,135.75254075161223 35.017038353550454,135.75252849222016 35.017037342442016,135.75246252891807 35.017031785195876,135.7524622518189 35.01712404665502,135.752239511674 35.01712260805202,135.7520029479643 35.01712107061063,135.7520039466324 35.016789141649156,135.75199172237774 35.01637076992933,135.75235545053533 35.0163718606082,135.75235777546493 35.01631066321595,135.752428183421 35.01631080615583,135.75242774720797 35.016456029802676,135.7526166130644 35.01645570808076,135.75261749392718 35.01651853286566,135.75265905552354 35.016518757795616,135.75265844489635 35.01672222543496,135.75295195796292 35.01672282038327,135.7529526755768 35.016483433974415,135.7527816611577 35.01648308743896,135.75278185319314 35.01641906854753,135.75279545812938 35.01632105913322,135.75292568122237 35.01635766385724,135.7529421988891 35.01636586751831,135.75304234818918 35.01636825375459,135.75304123378123 35.01646882349024,135.75298851056647 35.016473153851074,135.75297642838504 35.01701986840109,135.75297616358753 35.01703655984544,135.7529267193553 35.017039136196125,135.75292358075077 35.01710103692584,135.7529211689571 35.01714857118744,135.75286902159965 35.01714635242058,135.75286673866464 35.01703690155948,135.75282241734084 35.01703681172748,135.75282210196747 35.01714196172253,135.75275428146162 35.01714182422626,135.7527563026932 35.01710288037469,135.75275982552202 35.01703457174535,135.75274169880353 35.0170345349915,135.7526972284616 35.01703444481168,135.7526969645041 35.01712240981102,135.75261613762441 35.017120062452115,135.75261341807706 35.01715653930815))"""
4,京都,京都,中京区,七観音町,"""POLYGON((135.76034699927166 35.006778597633875,135.76001140347532 35.00677977220445,135.75999594101498 35.007113505929034,135.7597539524136 35.00711035644299,135.75974357187317 35.00747015872844,135.7595695152976 35.007469816950575,135.75956993441508 35.007326494529714,135.7592652982216 35.007327585046106,135.75926018111156 35.00704339226749,135.7590930544642 35.0070447531992,135.75909729105473 35.00702236571764,135.75898446851068 35.00702559416461,135.7589848867461 35.006882905502025,135.75882622987837 35.00687815531734,135.7587362991195 35.00687544188867,135.75859024921326 35.00687712591331,135.7585905018477 35.00650631640271,135.75893882349393 35.006507848713646,135.7589640221949 35.00648176949368,135.75914831810562 35.00647030074293,135.75934486794085 35.00646906797735,135.75934906789956 35.006430339914886,135.7595312711561 35.00643231856579,135.75952760339513 35.00614263578476,135.75991717027654 35.006147133232815,135.76002073783323 35.006147687589824,135.76002990238968 35.00656330904217,135.760347626 35.0065639304641,135.76034699927166 35.006778597633875))"""
5,京都,京都,中京区,七軒町,"""POLYGON((135.7502641796566 35.00490957372064,135.75021723566127 35.00491546458676,135.7502094207627 35.00511448121327,135.75004814015708 35.005122109790506,135.75002481720205 35.00507269179893,135.74990086741605 35.00507645251301,135.74990225163114 35.0050149708001,135.74982764591513 35.005011930594,135.7498206676433 35.00493564096077,135.7496942922984 35.00493439591817,135.74954387971812 35.00493606017816,135.7495496994757 35.00499945789823,135.74944019130209 35.00499726182826,135.74946113399108 35.00511879540239,135.74933198015682 35.005116768996565,135.74933541445853 35.00508557626509,135.74916068761064 35.00506049695167,135.74915490765466 35.00500498736544,135.74907142208698 35.00500199878172,135.74907381480975 35.00494699819053,135.7492043273356 35.00494564615422,135.74921799409523 35.004806999312656,135.7493744438886 35.004804363404766,135.7493819473423 35.004708312070896,135.75006169441954 35.004710760868555,135.7500628468556 35.004732455860385,135.7502613959744 35.004740820190094,135.7502641796566 35.00490957372064))"""
6,京都,京都,中京区,三坊堀川町,"""POLYGON((135.75238324203733 35.011046857812616,135.7521747647601 35.011047491474386,135.75217462542128 35.01109376301516,135.75190017042354 35.01110200972349,135.75189723847504 35.010903182239126,135.75187092572418 35.009771614592914,135.7522072855186 35.00977736835753,135.75221111865073 35.009833226330855,135.75228638160164 35.00983337899816,135.75228711361783 35.00991669827068,135.7523503727021 35.00991612248729,135.75236922353335 35.010314789193586,135.75247614173992 35.010334162655774,135.7525831423999 35.01032649140141,135.75258018377153 35.01039184365058,135.75247870123172 35.01039389175323,135.75247172780573 35.01043564198671,135.75230575801538 35.01044101014251,135.7523041576151 35.010517704112495,135.75236862613565 35.01051332738191,135.75239830359098 35.01103392939052,135.75238324203733 35.011046857812616))"""
7,京都,京都,中京区,三坊大宮町,"""POLYGON((135.74901373232126 35.010962295634364,135.7488765006211 35.010960816316754,135.74841746360372 35.010972689767215,135.74832219296357 35.010972140964206,135.7483573216912 35.010177069325906,135.74860341977583 35.01016877311063,135.7486040809715 35.009952204472036,135.7483580104128 35.00995169768512,135.74835295230451 35.00978624990908,135.74836998541994 35.00977938227887,135.74885787925257 35.00978348588417,135.7493248226614 35.00977338749174,135.7493600084182 35.00977191004086,135.74936560773253 35.00990778005247,135.7493266400958 35.00990770007598,135.7493277063528 35.009986089736934,135.74931051525357 35.01000239400045,135.74931376460543 35.01073444042746,135.74931399673653 35.01078486767988,135.74912196586678 35.01078876983291,135.7491235060374 35.01095068912168,135.7490421097829 35.0109548183829,135.74901373232126 35.010962295634364))"""
8,京都,京都,中京区,三坊猪熊町北組,"""POLYGON((135.75077844584803 35.010916399026506,135.75045260763133 35.01091862110061,135.75033700544967 35.010918948247586,135.75013593315055 35.01091952233347,135.75014154709618 35.01076184385624,135.75006983250844 35.01076338740469,135.75007081816 35.01041779326098,135.75050072289085 35.010414587645194,135.75050085620782 35.010448323573485,135.75049578608844 35.01050416338553,135.75079088426608 35.01050476592323,135.75079000554175 35.0105333585751,135.75077844584803 35.010916399026506))"""
9,京都,京都,中京区,三坊猪熊町南組,"""POLYGON((135.75079000554175 35.0105333585751,135.75079088426608 35.01050476592323,135.75049578608844 35.01050416338553,135.75050085620782 35.010448323573485,135.75050072289085 35.010414587645194,135.75007081816 35.01041779326098,135.75007912519766 35.01003566216225,135.75013938971327 35.01003444765579,135.75013748586085 35.00990724856463,135.75020139230872 35.009904562127154,135.75030635600106 35.0099047767677,135.75030654799522 35.00974286006561,135.75059783954038 35.009741624310855,135.75066032610206 35.00974140031231,135.7506613925124 35.00990514962644,135.75071634345136 35.00990596586466,135.75071651514273 35.00998386149563,135.7508172907199 35.01000998506334,135.75079970504552 35.01003692364726,135.7507907708815 35.01041482737643,135.75096164510197 35.010415175939954,135.75096151086095 35.010459546234586,135.7509612945838 35.01053103145816,135.75079000554175 35.0105333585751))"""
10,京都,京都,中京区,三坊西洞院町,"""POLYGON((135.75494303870423 35.01095820986581,135.75481578263148 35.01097704087778,135.75481270926147 35.010514949037415,135.7548099621599 35.01010110124062,135.7548188832149 35.00978594890973,135.75512262575 35.00982191389861,135.7554698425364 35.009832539445135,135.75546843913588 35.009858666428556,135.75555255653384 35.0098593982302,135.7555509376906 35.00996503832545,135.7555018831095 35.00997465914657,135.75550492155153 35.01006785532778,135.75551511530674 35.010380531737034,135.75551814767798 35.010473567434204,135.7555226291 35.01061101360188,135.75553012380843 35.010840924774676,135.75553129372895 35.01088635337354,135.755357325873 35.01089692211522,135.75494303870423 35.01095820986581))"""
